20	0	3.93166e+16
61	0	5.9432e+14
102	1	1.69283e+17
143	0	1.76159e+18
184	0	7.73782e+14
225	1	-8.96112e+16
266	0	1.23352e+14
348	0	3.44572e+15
389	0	2.64485e+15
430	1	3.74174e+18
20	0	7.86332e+16
61	0	1.18864e+15
102	1	3.38566e+17
143	0	3.52318e+18
184	0	1.54756e+15
225	1	-1.79222e+17
266	0	2.46705e+14
348	0	6.89143e+15
389	0	5.28969e+15
430	1	7.48348e+18
20	0	3.93166e+16
61	0	5.9432e+14
102	1	1.69283e+17
143	0	1.76159e+18
184	0	7.73782e+14
225	1	-8.96112e+16
266	0	1.23352e+14
348	0	3.44572e+15
389	0	2.64485e+15
430	1	3.74174e+18
20	0	7.86332e+16
61	0	1.18864e+15
102	1	3.38566e+17
143	0	3.52318e+18
184	0	1.54756e+15
225	1	-1.79222e+17
266	0	2.46705e+14
348	0	6.89143e+15
389	0	5.28969e+15
430	1	7.48348e+18
20	0	3.902e+27
61	0	5.91781e+25
102	1	1.67131e+28
143	0	1.71561e+29
184	0	7.65792e+25
225	1	-8.8306e+27
266	0	1.22614e+25
348	0	3.43024e+26
389	0	2.61771e+26
430	1	3.79089e+29
20	0	7.804e+27
61	0	1.18356e+26
102	1	3.34262e+28
143	0	3.43123e+29
184	0	1.53158e+26
225	1	-1.76612e+28
266	0	2.45228e+25
